id,app,permission,granted,permission_type,requested_date,app_version
1,com.example.app4203,READ_SMS,True,normal,2023-02-12,4.1.71
2,com.example.app1361,ACCESS_FINE_LOCATION,True,dangerous,2021-08-22,3.9.45
3,com.example.app4964,RECORD_AUDIO,True,normal,2026-01-05,3.3.95
4,com.example.app3244,ACCESS_FINE_LOCATION,False,dangerous,2024-02-08,2.12.29
5,com.example.app1082,READ_SMS,True,normal,2024-10-01,4.5.74
6,com.example.app3608,INTERNET,True,normal,2022-02-01,2.9.4
7,com.example.app743,RECORD_AUDIO,False,dangerous,2022-09-27,1.8.92
8,com.example.app772,ACCESS_FINE_LOCATION,True,normal,2024-10-07,1.0.76
9,com.example.app2342,CAMERA,True,signature,2025-12-24,1.11.20
10,com.example.app4128,READ_CONTACTS,True,signature,2022-03-02,2.1.7
11,com.example.app2049,READ_SMS,True,normal,2023-06-21,2.5.20
12,com.example.app2253,RECORD_AUDIO,True,normal,2025-03-03,1.11.7
13,com.example.app1517,RECORD_AUDIO,False,normal,2022-04-20,4.8.15
14,com.example.app2734,RECORD_AUDIO,True,dangerous,2021-04-04,1.2.8
15,com.example.app3971,ACCESS_FINE_LOCATION,True,normal,2021-11-22,2.11.8
16,com.example.app2889,RECORD_AUDIO,True,dangerous,2024-11-25,1.2.6
17,com.example.app1791,READ_CONTACTS,True,normal,2023-08-31,1.10.4
18,com.example.app4742,RECORD_AUDIO,False,normal,2022-02-12,2.5.85
19,com.example.app1840,ACCESS_FINE_LOCATION,True,signature,2025-03-28,1.1.83
20,com.example.app3003,INTERNET,True,dangerous,2025-09-18,2.11.53
21,com.example.app3598,ACCESS_FINE_LOCATION,True,normal,2026-04-25,2.3.96
22,com.example.app3020,INTERNET,True,dangerous,2021-03-04,1.7.9
23,com.example.app397,READ_CONTACTS,True,normal,2021-11-18,2.1.52
24,com.example.app18,ACCESS_FINE_LOCATION,True,signature,2022-03-10,3.12.22
25,com.example.app793,RECORD_AUDIO,True,normal,2025-11-25,2.0.43
26,com.example.app321,INTERNET,True,dangerous,2021-04-01,1.4.95
27,com.example.app2444,RECORD_AUDIO,False,signature,2021-09-03,3.6.47
28,com.example.app4324,ACCESS_FINE_LOCATION,False,normal,2022-08-26,1.11.72
29,com.example.app3473,READ_CONTACTS,True,normal,2021-10-11,3.9.69
30,com.example.app4464,READ_SMS,True,normal,2022-03-30,2.10.33
31,com.example.app30,CAMERA,True,normal,2025-04-22,2.4.66
32,com.example.app1981,READ_CONTACTS,True,normal,2022-03-29,4.11.73
33,com.example.app2959,RECORD_AUDIO,True,signature,2021-04-12,3.5.35
34,com.example.app3554,RECORD_AUDIO,False,dangerous,2024-05-31,4.0.16
35,com.example.app2430,READ_SMS,True,normal,2022-06-08,1.7.34
36,com.example.app2715,CAMERA,True,signature,2022-03-25,1.12.60
37,com.example.app3987,ACCESS_FINE_LOCATION,True,signature,2026-03-18,4.9.90
38,com.example.app781,CAMERA,True,normal,2025-12-16,2.4.40
39,com.example.app1698,READ_CONTACTS,True,dangerous,2023-08-17,3.2.47
40,com.example.app4565,RECORD_AUDIO,True,dangerous,2024-08-29,3.11.80
41,com.example.app4706,RECORD_AUDIO,True,normal,2021-04-04,2.0.4
42,com.example.app4477,READ_CONTACTS,True,signature,2023-03-05,2.4.91
