id,url,label,threat_score,first_seen
1,http://secure1460.net/reset,benign,0.13,2024-08-30
2,http://login50.com/user/3318,benign,0.067,2025-02-08
3,http://suspicious5420.net/home/8794,phishing,0.397,2024-08-03
4,http://secure1196.info/secure,benign,0.004,2025-02-26
5,http://service224.org/reset/8371,benign,0.083,2025-10-17
6,http://service8993.info/user,benign,0.062,2025-06-10
7,http://login7730.net/auth/3449,benign,0.121,2025-09-30
8,http://malicious5553.org/download/516,phishing,0.086,2024-02-12
9,http://update32.net/secure,phishing,0.207,2024-07-14
10,http://secure2089.org/auth,phishing,0.283,2024-02-21
11,http://login8748.net/user,phishing,0.285,2025-02-26
12,http://update7356.org/auth/3595,phishing,0.437,2025-01-09
13,http://suspicious2847.info/home,benign,0.004,2024-08-19
14,http://update3323.com/user/9603,phishing,0.123,2024-07-02
15,http://update1104.net/home/9000,benign,0.02,2026-03-22
16,http://benign1232.info/download/7880,phishing,0.398,2024-05-21
17,http://service5757.info/update,benign,0.093,2026-04-09
18,http://service2730.org/reset,benign,0.12,2023-12-23
19,http://benign3469.com/download,benign,0.017,2025-03-02
20,http://login4372.net/update,phishing,0.604,2023-12-18
21,http://suspicious8180.org/home,phishing,0.162,2026-05-02
22,http://service6094.net/reset,benign,0.084,2024-12-15
23,http://secure6027.info/auth/7798,benign,0.164,2024-03-30
24,http://secure7938.org/login,benign,0.019,2025-04-09
25,http://suspicious2010.org/secure,phishing,0.211,2024-08-04
26,http://accounts6004.net/auth,benign,0.075,2025-05-15
27,http://suspicious4690.com/reset,phishing,0.311,2024-07-30
28,http://malicious101.com/auth,benign,0.029,2025-08-11
29,http://accounts3320.info/update,benign,0.099,2025-12-09
30,http://update5444.info/user,benign,0.089,2025-02-16
31,http://malicious9101.info/download,phishing,0.341,2025-09-21
32,http://benign3197.info/update/4251,benign,0.004,2025-06-03
33,http://portal2232.org/download/5068,phishing,0.345,2024-10-09
34,http://benign6099.com/update/2299,phishing,0.11,2025-01-15
35,http://portal4149.com/update,phishing,0.408,2025-04-07
36,http://suspicious9313.net/login,benign,0.005,2024-01-29
37,http://malicious8690.net/auth,benign,0.003,2025-04-02
38,http://service8449.net/reset/7541,phishing,0.429,2025-05-03
39,http://login7681.info/update/8127,benign,0.023,2024-05-03
40,http://accounts5727.org/login/5038,benign,0.005,2025-01-30
41,http://benign1186.net/reset/8417,benign,0.246,2026-03-11
42,http://suspicious1152.info/download/9207,phishing,0.325,2024-07-24
43,http://portal7211.net/secure,benign,0.055,2024-04-04
44,http://suspicious9429.net/home,phishing,0.734,2024-04-21
45,http://secure834.info/secure/1804,benign,0.018,2025-11-17
46,http://suspicious6061.org/update,phishing,0.481,2025-09-11
47,http://portal8398.net/download,benign,0.012,2025-11-03
48,http://service748.net/user,phishing,0.465,2026-05-08
49,http://secure2717.info/home,benign,0.03,2025-04-03
50,http://service9764.net/user,benign,0.011,2025-12-15
51,http://malicious2210.net/update/6953,benign,0.027,2024-06-03
52,http://secure1226.org/secure/3783,benign,0.007,2025-05-02
53,http://benign3720.org/update,phishing,0.627,2024-08-09
54,http://secure7797.org/secure,benign,0.071,2024-12-17
55,http://secure1134.info/login/9930,benign,0.071,2025-03-28
56,http://update5029.net/update/5391,phishing,0.119,2025-02-28
57,http://malicious1045.net/login/1691,phishing,0.461,2025-10-03
58,http://malicious2131.info/reset,phishing,0.146,2026-04-28
59,http://secure2543.info/auth/3710,phishing,0.399,2024-05-03
60,http://suspicious8750.com/auth,phishing,0.531,2025-03-31
61,http://secure2585.org/reset/4349,phishing,0.127,2026-01-13
62,http://accounts4431.net/auth,phishing,0.233,2024-10-25
63,http://secure2223.net/secure,phishing,0.365,2023-12-23
64,http://login8774.com/user/248,phishing,0.135,2025-05-31
65,http://update7534.info/login,phishing,0.041,2024-11-23
66,http://update8585.info/update,benign,0.198,2025-01-24
67,http://service8314.info/update,phishing,0.502,2024-11-25
68,http://secure7463.org/login,phishing,0.358,2024-08-11
69,http://benign9289.net/login,benign,0.044,2024-01-28
70,http://benign1886.info/secure,phishing,0.362,2025-01-23
71,http://suspicious1562.org/secure/3047,benign,0.072,2026-02-28
72,http://login8121.org/home,phishing,0.276,2024-11-27
73,http://secure8647.info/secure,phishing,0.192,2025-10-24
74,http://secure5910.info/auth,phishing,0.192,2025-06-12
75,http://login6230.com/update,benign,0.042,2026-03-19
76,http://benign117.info/update,phishing,0.294,2025-05-01
77,http://malicious2221.net/auth,benign,0.074,2024-08-09
78,http://update3747.org/auth,phishing,0.192,2025-01-13
79,http://benign2198.org/user/2912,benign,0.158,2024-06-27
80,http://update7555.org/download,phishing,0.351,2024-12-23
81,http://benign9062.org/auth,benign,0.22,2024-09-09
82,http://accounts2871.info/home,benign,0.018,2025-06-03
83,http://service5951.org/login,benign,0.072,2025-03-07
84,http://portal469.info/reset,phishing,0.49,2024-05-18
85,http://service5593.org/home/6042,benign,0.101,2024-09-18
86,http://malicious1003.info/user,benign,0.072,2026-03-26
87,http://secure3957.com/user,benign,0.076,2026-02-08
88,http://benign9358.net/auth,benign,0.115,2025-07-05
89,http://suspicious5886.info/secure,benign,0.043,2025-06-06
90,http://accounts2317.com/update,benign,0.025,2024-06-05
91,http://malicious6645.info/login,benign,0.05,2025-10-27
92,http://update8258.info/secure/8837,phishing,0.673,2024-01-15
93,http://malicious5416.org/login/262,benign,0.113,2026-02-20
94,http://suspicious5282.info/secure,phishing,0.35,2025-09-14
