id,indicator,type,description,severity,first_seen,confidence
1,31018aaff6c62b2601def1b75885ed47,hash,Auto-generated indicator,low,2021-01-01,0.51
2,498f150cb9255828bce6d33cea7fcd80,hash,Auto-generated indicator,critical,2023-08-20,0.62
3,service3602.org,domain,Auto-generated indicator,critical,2022-07-30,0.62
4,179.67.135.181,ip,Auto-generated indicator,low,2025-02-12,0.84
5,b345766ddc3cbc88947595b9612e3a09,hash,Auto-generated indicator,medium,2024-06-03,0.76
6,secure7002.com,domain,Auto-generated indicator,high,2022-01-12,0.62
7,update9082.net,domain,Auto-generated indicator,low,2025-06-25,0.4
8,9737cc4545e21fb8e64427e22fdc8e98,hash,Auto-generated indicator,low,2025-10-21,0.67
9,suspicious2586.net,domain,Auto-generated indicator,medium,2021-06-12,0.62
10,login7063.info,domain,Auto-generated indicator,low,2024-06-28,0.42
11,ef0ade12e05924f68e0621820a21887c,hash,Auto-generated indicator,medium,2023-05-17,0.76
12,72ca07e98e5cf94c1359f41d223f78df,hash,Auto-generated indicator,low,2024-03-05,0.65
13,login303.org,domain,Auto-generated indicator,low,2025-03-14,0.94
14,portal3512.info,domain,Auto-generated indicator,low,2025-08-07,0.46
15,update829.com,domain,Auto-generated indicator,low,2023-05-23,0.97
16,c963740dcdb9b0dc952d23ea40165100,hash,Auto-generated indicator,high,2025-11-20,0.63
17,3c66d897444e0372c781b2cbba1237b3,hash,Auto-generated indicator,low,2022-09-25,0.97
18,login791.org,domain,Auto-generated indicator,medium,2026-04-17,0.87
19,182.35.120.86,ip,Auto-generated indicator,low,2025-11-05,0.98
20,suspicious8404.info,domain,Auto-generated indicator,low,2023-03-27,0.53
21,accounts1407.net,domain,Auto-generated indicator,high,2026-02-26,0.96
22,19f106711fd24fcd3efcb208af103e9a,hash,Auto-generated indicator,high,2021-03-10,0.43
23,98.62.47.242,ip,Auto-generated indicator,low,2021-07-09,0.6
24,102.163.48.244,ip,Auto-generated indicator,low,2025-04-27,0.72
25,service8574.com,domain,Auto-generated indicator,critical,2025-07-25,0.99
26,1d5ea0690bfd543a5c05f029afcda9e9,hash,Auto-generated indicator,high,2021-11-24,0.53
27,b955d906c1e0dd970c628298c6bd5e5a,hash,Auto-generated indicator,critical,2023-10-07,0.52
